symbol,name,priceIntraday,change,percentChange,marketCap,volumeCurrencySince000UTC,volumeCurrency24Hr,totalVolumeAllCurrencies24Hr,circulatingSupply,range52Week
BTC-USD,Bitcoin USD,"10,721.15",+394.85,+3.82%,191.749B,248.728M,329.61M,3.322B,17.885M,
XRP-USD,Ripple USD,0.2836,0.0000,0.00%,28.358B,15.082M,30.653M,507.861M,99.992B,
ETH-USD,Ethereum USD,201.22,+6.44,+3.31%,21.608B,31.328M,45.407M,1.228B,107.386M,
BCH-USD,Bitcoin Cash / BCC USD,324.38,+7.40,+2.33%,5.825B,16.118M,26.098M,338.135M,17.956M,
LTC-USD,Litecoin USD,77.65,+1.30,+1.70%,4.895B,13.526M,23.846M,597.796M,63.039M,
BNB-USD,Binance Coin USD,28.95,-0.06,-0.22%,4.502B,0,"4,431",113.894M,155.537M,
USDT-USD,Tether USD,1.0020,0.0000,0.00%,4.052B,3.889M,4.504M,153.766M,4.044B,
LINK-USD,ChainLink USD,2.5810,+0.0730,+2.91%,2.581B,2.348M,5.161M,43.491M,1B,
EOS-USD,EOS USD,3.7400,+0.0440,+1.19%,2.443B,3.478M,6.456M,452.71M,653.096M,
XMR-USD,Monero USD,87.98,-0.02,-0.02%,1.51B,"483,499","729,828",18.893M,17.163M,
XLM-USD,Stellar USD,0.0717,+0.0009,+1.20%,1.408B,"358,479","680,119",11.569M,19.634B,
ADA-USD,Cardano USD,0.0503,-0.0023,-4.29%,1.304B,0,"161,643",25.075M,25.927B,
TRX-USD,Tronix USD,0.0181,-0.0003,-1.68%,1.207B,0,"89,729",93.75M,66.752B,
IOT-USD,IOTA USD,0.4114,0.0000,0.00%,1.144B,0,0,0,2.78B,
DASH-USD,DigitalCash USD,96.73,+1.73,+1.82%,869.439M,"354,790","619,271",39.879M,8.988M,
NEO-USD,NEO USD,10.07,+0.21,+2.15%,710.326M,"194,301","404,761",68.106M,70.539M,
ETC-USD,Ethereum Classic USD,5.615,+0.033,+0.59%,633.488M,"349,946","792,876",115.857M,112.821M,
XRB-USD,Nano USD,4.2859,-0.0004,-0.01%,571.095M,0,0,0,133.248M,
XEM-USD,NEM USD,0.0571,-0.0002,-0.37%,514.294M,0,"15,318",28.638M,9B,
ZEC-USD,ZCash USD,54.17,+1.26,+2.38%,391.417M,"348,848","490,855",84.621M,7.226M,
DOGE-USD,Dogecoin USD,0.0028,0.0000,0.00%,336.849M,0,"37,722",6.003M,120.843B,
BAT-USD,Basic Attention Token USD,0.1848,-0.0069,-3.58%,277.249M,0,"2,263",3.763M,1.5B,
DCR-USD,Decred USD,26.59,-0.10,-0.36%,272.736M,0,0,"309,310",10.258M,
QTUM-USD,QTUM USD,2.6610,+0.1120,+4.39%,266.1M,"159,058","231,767",69.972M,100M,
BTG-USD,Bitcoin Gold USD,14.01,-0.38,-2.61%,241.049M,0,"120,821",3.733M,17.202M,
VEN-USD,Vechain USD,0.2134,0.0000,0.00%,213.351M,0,0,0,1B,
OMG-USD,OmiseGo USD,1.2610,+0.0050,+0.40%,176.849M,"187,078","295,784",19.895M,140.245M,
ZRX-USD,0x USD,0.1753,-0.0002,-0.11%,175.3M,"176,605","274,690",1.998M,1B,
GNO-USD,Gnosis USD,15.43,-0.02,-0.14%,154.316M,0,"10,462","71,002",10M,
LSK-USD,Lisk USD,1.2512,-0.0257,-2.02%,149.445M,0,"15,128",1.692M,119.446M,
BTM-USD,BTM* USD,0.0949,+0.0048,+5.36%,133.499M,0,0,7.375M,1.407B,
HSR-USD,Hshare USD,2.9740,+0.0311,+1.06%,131.552M,0,0,21.761M,44.233M,
WAVES-USD,Waves USD,1.2705,-0.0386,-2.95%,127.046M,0,"27,111",5.778M,100M,
SNT-USD,Status Network Token USD,0.0182,-0.0006,-3.41%,124.025M,0,8,6.85M,6.805B,
BCN-USD,ByteCoin USD,0.0006,-0.0000,-3.14%,114.077M,0,0,"19,002",184.067B,
BTS-USD,Bitshares USD,0.0412,-0.0008,-1.79%,112.809M,0,0,"837,398",2.74B,
DGB-USD,DigiByte USD,0.0095,-0.0003,-3.26%,108.836M,0,"6,876","413,344",11.406B,
MCO-USD,Monaco USD,3.4125,-0.1576,-4.41%,107.794M,0,0,1.956M,31.588M,
REP-USD,Augur USD,9.784122,-0.243370,-2.43%,107.625M,0,"152,134",1.03M,11M,
MONA-USD,MonaCoin USD,1.5717,-0.0236,-1.48%,107.183M,0,0,1.518M,68.195M,
WTC-USD,Waltonchain USD,1.5010,+0.0182,+1.23%,105.067M,0,0,1.397M,70M,
QASH-USD,Quoine Liquid USD,0.1052,+0.0010,+0.97%,105.238M,0,"1,717","72,376",1B,
KMD-USD,Komodo USD,0.8192,-0.0302,-3.56%,94.627M,0,0,"709,368",115.511M,
XVG-USD,Verge USD,0.0053,-0.0003,-5.77%,83.469M,0,371,1.289M,15.889B,
ICX-USD,ICON Project USD,0.2030,-0.0089,-4.20%,81.227M,0,0,2.842M,400.229M,
MAID-USD,MaidSafe Coin USD,0.1788,-0.0013,-0.71%,80.929M,0,0,"403,906",452.552M,
