symbol,name,priceIntraday,change,percentChange,volume,avgVol3month,market,cap,pERatioTTM
BHP,BHP Group,49.18,+0.37,+0.76%,"450,576",1.904M,124.81B,24.01,
BBL,BHP Group,43.04,+0.39,+0.91%,"177,547",1.135M,108.296B,21.02,
LIN,Linde plc,188.86,+0.07,+0.04%,"233,546",1.858M,102.096B,19.51,
CTA-PB,E. I. du Pont de Nemours and Company,113.76,+0.76,+0.67%,414,"1,460",98.722B,N/A,
RIO,Rio Tinto Group,49.42,+0.60,+1.23%,"604,771",2.335M,82.83B,6.20,
CTA-PA,E. I. du Pont de Nemours and Company,83.85,-0.25,-0.30%,400,335,72.764B,N/A,
ECL,Ecolab Inc.,207.62,+0.81,+0.39%,"172,238",1.175M,59.743B,40.54,
VALE,Vale S.A.,10.82,-0.06,-0.55%,3.531M,19.847M,55.488B,16.70,
APD,"Air Products and Chemicals, Inc.",228.21,-0.55,-0.24%,"142,162",1.116M,50.287B,29.53,
DD,"DuPont de Nemours, Inc.",67.50,+1.38,+2.08%,"410,968",4.507M,50.316B,55.97,
SHW,The Sherwin-Williams Company,530.98,+0.89,+0.17%,"93,769","543,680",48.986B,42.69,
DOW,Dow Inc.,45.42,+0.91,+2.04%,"679,034",4.719M,33.757B,13.40,
GOLD,Barrick Gold Corporation,18.33,-0.06,-0.33%,5.38M,16.954M,32.135B,N/A,
NEM,Newmont Goldcorp Corporation,38.26,-0.33,-0.84%,1.223M,9.02M,31.365B,N/A,
NTR,Nutrien Ltd.,49.94,+0.16,+0.32%,"166,999",1.814M,28.522B,9.84,
PPG,"PPG Industries, Inc.",112.00,+1.28,+1.15%,"127,800",1.291M,26.464B,22.02,
CRH,CRH plc,32.35,+0.34,+1.06%,"73,095","410,266",25.663B,7.82,
LYB,LyondellBasell Industries N.V.,75.28,+1.03,+1.39%,"270,706",3.42M,25.237B,7.90,
SCCO,Southern Copper Corporation,30.38,+0.47,+1.57%,"133,216","748,512",23.486B,16.16,
CTVA,"Corteva, Inc.",30.63,+0.39,+1.30%,"743,916",6.662M,22.94B,N/A,
VMC,Vulcan Materials Company,142.09,+0.36,+0.25%,"199,623","939,049",18.796B,33.53,
FNV,Franco-Nevada Corporation,92.53,-0.25,-0.27%,"147,469","561,026",17.341B,115.09,
MLM,"Martin Marietta Materials, Inc.",256.65,+1.81,+0.71%,"115,552","570,777",16.025B,31.91,
PKX,POSCO,43.02,+0.64,+1.51%,"17,629","180,633",14.951B,4.99,
NUE,Nucor Corporation,50.12,+1.36,+2.79%,"339,317",2.383M,15.194B,7.06,
AEM,Agnico Eagle Mines Limited,58.84,-0.26,-0.44%,"333,428",1.517M,13.999B,N/A,
