symbol,name,priceIntraday,change,percentChange,volume,avgVol3month,market,cap,pERatioTTM
T,AT&T Inc.,35.24,+0.27,+0.77%,6.866M,28.964M,257.491B,14.86,
VZ,Verizon Communications Inc.,57.22,+0.57,+1.01%,2.357M,13.403M,236.669B,14.95,
CMCSA,Comcast Corporation,43.96,+0.78,+1.81%,1.878M,18.38M,199.805B,16.79,
CHL,China Mobile Limited,42.24,+0.24,+0.57%,"132,510","733,811",173.42B,9.71,
AMT,American Tower Corporation (REIT),224.82,+1.89,+0.85%,"203,589",1.797M,99.524B,67.92,
CHTR,"Charter Communications, Inc.",387.87,+3.36,+0.87%,"177,539",1.083M,85.905B,65.59,
TMUS,"T-Mobile US, Inc.",77.82,+0.07,+0.09%,"244,702",5.45M,66.494B,20.42,
VOD,Vodafone Group Plc,18.20,-0.14,-0.74%,"979,684",3.856M,48.457B,N/A,
AMOV,"América Móvil, S.A.B. de C.V.",13.20,+0.05,+0.34%,303,"4,779",44.741B,33.01,
AMX,"América Móvil, S.A.B. de C.V.",13.30,-0.02,-0.15%,"187,939",2.42M,44.615B,33.25,
BCE,BCE Inc.,46.79,+0.05,+0.12%,"92,569","804,353",42.12B,20.40,
ORAN,Orange S.A.,15.06,+0.15,+1.01%,"91,072","710,107",40.072B,17.19,
CHA,China Telecom Corporation Limited,45.17,-0.46,-1.01%,"4,641","36,622",36.774B,12.91,
TEF,"Telefónica, S.A.",6.73,+0.12,+1.82%,"816,098",1.832M,35.442B,10.58,
CHU,China Unicom (Hong Kong) Limited,9.81,-0.12,-1.21%,"129,748","331,474",30.294B,30.66,
TLK,Perusahaan Perseroan (Persero) PT Telekomunikasi Indonesia Tbk,30.57,+0.09,+0.30%,"19,866","260,076",30.5B,23.52,
S,Sprint Corporation,6.91,-0.00,-0.05%,"936,437",26.296M,28.268B,N/A,
CHT,"Chunghwa Telecom Co., Ltd.",34.16,-0.02,-0.06%,"7,269","74,725",26.585B,22.47,
RCI,Rogers Communications Inc.,51.25,+0.16,+0.31%,"52,569","364,590",26.26B,18.31,
ZM,"Zoom Video Communications, Inc.",93.35,+0.82,+0.89%,"401,121",2.395M,25.433B,"7,779.17",
ATUS,"Altice USA, Inc.",26.66,+0.11,+0.41%,"581,808",5.158M,22.258B,61.01,
TU,TELUS Corporation,36.16,-0.03,-0.08%,"53,267","407,831",21.732B,19.25,
VIV,Telefônica Brasil S.A.,13.11,-0.06,-0.46%,"164,670",1.826M,21.408B,9.39,
BT,BT Group plc,10.12,+0.18,+1.81%,"453,125",1.334M,19.952B,6.75,
LBTYA,Liberty Global Plc,26.21,+0.17,+0.65%,"155,656",1.768M,18.994B,18.56,
LBTYK,Liberty Global Plc,25.79,+0.13,+0.51%,1.045M,2.767M,18.907B,18.26,
LBRDA,Liberty Broadband Corporation,99.76,+1.32,+1.34%,"9,575","107,574",18.343B,255.79,
LBRDK,Liberty Broadband Corporation,101.31,+1.36,+1.37%,"73,796","518,155",18.348B,259.76,
LBTYB,Liberty Global Plc,25.00,-1.46,-5.52%,17,98,17.822B,17.71,
ROKU,"Roku, Inc.",131.88,+0.84,+0.64%,2.952M,10.441M,15.329B,N/A,
DISH,DISH Network Corporation,32.33,+0.37,+1.14%,"238,732",3.107M,15.192B,11.88,
SKM,"SK Telecom Co.,Ltd",21.49,+0.19,+0.89%,"42,628","332,750",13.833B,4.76,
CTL,"CenturyLink, Inc.",11.55,+0.34,+3.03%,2.777M,13.029M,12.598B,N/A,
SJR,Shaw Communications Inc.,19.31,+0.07,+0.36%,"47,740","401,120",9.969B,260.95,
TSU,TIM Participações S.A.,14.95,-0.01,-0.04%,"52,748","929,331",7.298B,10.91,
CABO,"Cable One, Inc.","1,257.55",+7.79,+0.62%,"26,833","57,238",7.176B,46.29,
MBT,Mobile TeleSystems Public Joint Stock Company,7.59,-0.10,-1.30%,"502,332",2.929M,6.792B,62.73,
GLIBP,"GCI Liberty, Inc.",26.50,+0.22,+0.84%,952,"7,161",6.641B,3.84,
GLIBA,"GCI Liberty, Inc.",59.95,+0.80,+1.35%,"26,672","352,946",6.339B,8.69,
KT,KT Corporation,11.14,+0.09,+0.81%,"64,574","834,338",5.397B,11.56,
TIGO,Millicom International Cellular S.A.,50.05,+0.99,+2.02%,"4,392","33,649",5.061B,148.52,
TKC,Turkcell Iletisim Hizmetleri A.S.,5.54,-0.07,-1.25%,"77,530","425,084",4.977B,7.44,
PHI,PLDT Inc.,20.80,+0.06,+0.29%,"112,515","122,776",4.613B,31.33,
TEO,Telecom Argentina S.A.,10.70,-0.47,-4.25%,"86,444","561,331",4.607B,N/A,
VG,Vonage Holdings Corp.,13.50,+0.09,+0.67%,"215,017",3.11M,3.273B,355.26,
USM,United States Cellular Corporation,35.28,+0.31,+0.89%,"39,725","240,047",3.047B,21.85,
IRDM,Iridium Communications Inc.,23.11,+0.78,+3.49%,"129,906","786,573",3.023B,N/A,
LILA,Liberty Latin America Ltd.,16.00,+0.09,+0.54%,"26,206","231,319",2.918B,N/A,
LILAK,Liberty Latin America Ltd.,16.02,+0.04,+0.25%,"69,785","599,206",2.909B,N/A,
TDS,"Telephone and Data Systems, Inc.",24.83,+0.02,+0.08%,"176,060","754,915",2.832B,18.82,
CCOI,"Cogent Communications Holdings, Inc.",58.61,+0.60,+1.03%,"21,517","250,330",2.744B,84.09,
I,Intelsat S.A.,18.82,+0.24,+1.26%,"148,423",1.634M,2.647B,N/A,
CBB-PB,Cincinnati Bell Inc. PFD CV DEP1/20,35.50,+0.16,+0.45%,"1,206","8,963",1.497B,N/A,
SHEN,Shenandoah Telecommunications Company,32.90,+0.11,+0.34%,"4,936","167,996",1.64B,30.46,
IDCC,"InterDigital, Inc.",50.59,+1.81,+3.71%,"72,814","426,442",1.575B,62.07,
ATNI,"ATN International, Inc.",54.60,+0.61,+1.13%,"12,895","64,077",873.862M,55.54,
IGLD,Internet Gold - Golden Lines Ltd.,26.80,-1.73,-6.05%,"5,576","8,620",8.603M,N/A,
RBBN,Ribbon Communications Inc.,5.38,+0.13,+2.44%,"53,185","297,352",594.565M,86.74,
WIFI,"Boingo Wireless, Inc.",11.31,+0.33,+3.01%,"198,068","683,660",498.894M,N/A,
WOW,"WideOpenWest, Inc.",5.64,-0.05,-0.88%,"20,882","231,931",476.032M,5.74,
GTT,"GTT Communications, Inc.",8.47,-0.08,-0.94%,"259,897","854,638",477.383M,N/A,
ORBC,ORBCOMM Inc.,5.09,+0.01,+0.30%,"133,360","923,961",405.549M,N/A,
OOMA,"Ooma, Inc.",12.26,-0.05,-0.41%,"10,092","83,539",253.782M,N/A,
SPOK,"Spok Holdings, Inc.",12.06,+0.59,+5.14%,"44,119","144,706",231.903M,N/A,
IDT,IDT Corporation,8.64,-0.07,-0.80%,"13,418","150,377",232.12M,20.28,
