symbol,name,priceIntraday,change,percentChange,volume,avgVol3month,market,cap,pERatioTTM
AMZN,"Amazon.com, Inc.","1,816.19",+23.62,+1.32%,"924,964",3.685M,898.389B,75.35,
BABA,Alibaba Group Holding Limited,176.59,+1.99,+1.14%,6.197M,20.824M,459.764B,50.50,
DIS,The Walt Disney Company,136.47,+1.27,+0.94%,1.708M,8.835M,245.834B,17.57,
HD,"The Home Depot, Inc.",207.64,+3.99,+1.96%,1.368M,3.884M,228.464B,20.91,
TM,Toyota Motor Corporation,129.80,+1.01,+0.79%,"16,177","142,455",184.458B,7.94,
MCD,McDonald's Corporation,218.25,-0.22,-0.10%,"678,253",2.944M,165.749B,28.66,
NFLX,"Netflix, Inc.",306.70,+3.90,+1.29%,1.579M,6.912M,134.286B,120.75,
NKE,"NIKE, Inc.",81.06,+0.78,+0.97%,1.256M,6.368M,127.008B,32.55,
SBUX,Starbucks Corporation,96.63,+0.11,+0.11%,1.29M,7.834M,115.666B,34.55,
BKNG,Booking Holdings Inc.,"1,936.32",+14.13,+0.74%,"61,006","348,365",82.317B,21.35,
LOW,"Lowe's Companies, Inc.",95.60,+1.68,+1.79%,1.409M,5.209M,74.847B,32.49,
TJX,"The TJX Companies, Inc.",51.72,+0.33,+0.64%,1.225M,6.162M,62.719B,21.19,
GM,General Motors Company,37.31,+0.31,+0.85%,"845,755",8.397M,53.276B,5.94,
JD,"JD.com, Inc.",31.72,+0.42,+1.36%,5.382M,12.803M,46.107B,215.75,
RELX,RELX PLC,23.67,+0.16,+0.68%,"51,333","415,514",45.701B,21.76,
MAR,"Marriott International, Inc.",130.33,+1.51,+1.17%,"148,769",1.652M,42.925B,31.44,
LVS,Las Vegas Sands Corp.,54.35,+1.95,+3.72%,"860,868",4.406M,41.838B,21.90,
HMC,"Honda Motor Co., Ltd.",23.42,+0.10,+0.43%,"76,686","610,550",40.946B,4.04,
TSLA,"Tesla, Inc.",223.20,+3.26,+1.48%,1.61M,9.938M,39.981B,N/A,
ROST,"Ross Stores, Inc.",104.22,+1.04,+1.01%,"477,207",2.339M,38.009B,24.25,
F,Ford Motor Company,9.06,+0.10,+1.06%,4.358M,36.455M,36.128B,16.77,
YUM,"YUM! Brands, Inc.",115.75,+0.13,+0.11%,"200,498",1.501M,35.221B,27.54,
EBAY,eBay Inc.,40.48,+0.46,+1.15%,1.091M,8.175M,33.953B,15.65,
CCL,Carnival Corporation,45.74,+0.81,+1.80%,"586,871",4.231M,32.768B,10.71,
