symbol,name,priceIntraday,change,percentChange,volume,avgVol3month,market,cap,pERatioTTM
WMT,Walmart Inc.,114.57,+1.58,+1.40%,1.5M,5.846M,327.08B,25.91,
PG,The Procter & Gamble Company,119.93,+0.75,+0.63%,1.84M,7.644M,300.096B,83.87,
KO,The Coca-Cola Company,54.45,+0.04,+0.07%,1.897M,12.453M,232.812B,33.20,
BUD,Anheuser-Busch InBev SA/NV,95.97,+0.68,+0.72%,"159,450",1.591M,189.101B,25.87,
PEP,"PepsiCo, Inc.",132.11,+0.35,+0.27%,"477,325",4.474M,184.712B,14.63,
UL,Unilever PLC,61.60,+0.54,+0.88%,"134,367","676,658",163.073B,24.38,
FMX,"Fomento Económico Mexicano, S.A.B. de C.V.",88.26,-0.44,-0.50%,"21,003","301,949",157.916B,38.71,
UN,Unilever N.V.,60.09,+0.53,+0.89%,"418,081",1.045M,156.148B,23.78,
PM,Philip Morris International Inc.,85.65,+0.74,+0.87%,"391,452",5.045M,133.258B,17.05,
COST,Costco Wholesale Corporation,275.89,+1.79,+0.65%,"330,977",1.76M,121.333B,33.90,
DEO,Diageo plc,167.35,-0.34,-0.20%,"151,358","323,042",98.561B,26.13,
MO,"Altria Group, Inc.",46.92,+0.44,+0.96%,"821,503",7.674M,87.661B,14.01,
BTI,British American Tobacco p.l.c.,36.67,-0.06,-0.15%,"326,453",1.657M,83.634B,1.66,
MDLZ,"Mondelez International, Inc.",54.45,-0.09,-0.17%,"663,026",6.185M,78.525B,21.32,
EL,The Estée Lauder Companies Inc.,195.82,+16.60,+9.26%,1.642M,1.333M,70.862B,40.12,
CL,Colgate-Palmolive Company,72.81,+0.53,+0.73%,"392,597",3.347M,62.467B,27.69,
KMB,Kimberly-Clark Corporation,141.84,+1.12,+0.80%,"252,830",1.605M,48.812B,27.36,
WBA,"Walgreens Boots Alliance, Inc.",51.24,+1.22,+2.43%,"827,899",5.09M,46.277B,10.03,
TGT,Target Corporation,86.18,+1.97,+2.34%,1.696M,5.108M,44.153B,15.08,
KDP,Keurig Dr Pepper Inc.,28.05,+0.04,+0.14%,"123,591",2.622M,39.459B,41.56,
STZ,"Constellation Brands, Inc.",199.65,+0.87,+0.44%,"173,846",1.519M,38.229B,15.84,
SYY,Sysco Corporation,73.89,+0.93,+1.27%,"468,820",2.656M,37.894B,23.09,
DG,Dollar General Corporation,138.25,+2.34,+1.72%,"394,491",1.724M,35.713B,22.69,
GIS,"General Mills, Inc.",54.76,-0.26,-0.47%,"707,317",4.196M,33.047B,18.88,
HSY,The Hershey Company,156.49,+1.05,+0.68%,"181,725",1.301M,32.797B,27.07,
TSN,"Tyson Foods, Inc.",87.63,-0.07,-0.08%,"221,990",2.845M,31.957B,14.67,
KHC,The Kraft Heinz Company,25.74,+0.33,+1.30%,1.447M,10.064M,31.403B,N/A,
MNST,Monster Beverage Corporation,57.50,+0.32,+0.56%,"237,314",2.93M,31.331B,29.95,
BF-A,Brown-Forman Corporation,56.93,+0.49,+0.87%,"1,660","30,392",27.516B,32.91,
BF-B,Brown-Forman Corporation,58.03,+0.49,+0.84%,"151,658",1.288M,27.509B,33.54,
CCEP,Coca-Cola European Partners plc,55.11,+0.01,+0.02%,"130,436",1.179M,25.897B,32.40,
DLTR,"Dollar Tree, Inc.",95.69,+1.98,+2.11%,"397,528",2.123M,22.734B,N/A,
MKC-V,"McCormick & Company, Incorporated",167.18,-2.70,-1.59%,350,"1,390",22.163B,32.70,
HRL,Hormel Foods Corporation,41.09,-0.36,-0.87%,"350,147",2.721M,21.936B,22.58,
MKC,"McCormick & Company, Incorporated",165.43,-4.51,-2.65%,"176,413","868,722",21.923B,32.36,
K,Kellogg Company,63.83,+0.05,+0.08%,"257,620",2.585M,21.743B,25.60,
ADM,Archer-Daniels-Midland Company,37.96,+0.12,+0.30%,"348,336",3.846M,21.14B,16.35,
CLX,The Clorox Company,161.35,+0.45,+0.28%,"134,281","957,261",20.288B,25.53,
TAL,TAL Education Group,33.86,+0.98,+2.98%,"684,278",3.311M,20.671B,69.10,
CHD,"Church & Dwight Co., Inc.",79.08,-0.62,-0.78%,"431,479",1.283M,19.54B,32.95,
KR,The Kroger Co.,23.01,+0.35,+1.57%,1.966M,10.08M,18.384B,10.13,
EDU,New Oriental Education & Technology Group Inc.,106.65,+2.05,+1.96%,"185,727",1.194M,16.885B,71.10,
CAG,"Conagra Brands, Inc.",29.79,+0.32,+1.09%,"348,432",4.849M,14.496B,19.52,
SJM,The J. M. Smucker Company,114.73,+0.38,+0.33%,"85,274","846,836",13.084B,25.38,
CPB,Campbell Soup Company,42.74,+0.10,+0.23%,"154,727",2.219M,12.871B,41.25,
KOF,"Coca-Cola FEMSA, S.A.B. de C.V.",58.98,-0.04,-0.07%,"10,373","58,793",12.391B,N/A,
TAP,Molson Coors Brewing Company,52.57,+0.69,+1.33%,"177,488",1.705M,11.41B,12.73,
BURL,"Burlington Stores, Inc.",170.81,-1.32,-0.77%,"208,861","921,939",11.336B,28.49,
LW,"Lamb Weston Holdings, Inc.",69.46,+0.65,+0.94%,"166,022",1.564M,10.119B,21.84,
USFD,US Foods Holding Corp.,39.88,+0.70,+1.79%,"157,491",1.577M,8.714B,21.22,
