symbol,name,priceIntraday,change,percentChange,volume,avgVol3month,market,cap,pERatioTTM
XOM,Exxon Mobil Corporation,69.31,+1.01,+1.48%,2.408M,10.799M,293.258B,16.70,
RDS-B,Royal Dutch Shell plc,56.46,+0.90,+1.62%,"571,413",1.705M,224.098B,11.37,
RDS-A,Royal Dutch Shell plc,56.40,+0.84,+1.51%,"496,987",2.495M,223.86B,11.36,
CVX,Chevron Corporation,117.39,+1.58,+1.37%,1.114M,5.612M,222.865B,15.20,
PTR,PetroChina Company Limited,49.35,+0.58,+1.19%,"7,066","100,266",152.229B,11.22,
TOT,TOTAL S.A.,48.90,+0.89,+1.85%,"293,882",1.822M,127.611B,12.23,
BP,BP p.l.c.,36.74,+0.45,+1.24%,1.517M,6.5M,122.321B,13.98,
SNP,China Petroleum & Chemical Corporation,59.88,+0.78,+1.33%,"28,801","166,682",84.597B,6.58,
PBR,Petróleo Brasileiro S.A. - Petrobras,13.33,+0.10,+0.76%,4.504M,15.54M,83.565B,18.16,
PBR-A,Petróleo Brasileiro S.A. - Petrobras,12.04,+0.09,+0.75%,1.199M,5.458M,83.563B,16.40,
ENB,Enbridge Inc.,33.80,+0.18,+0.54%,"382,358",3.155M,68.138B,46.56,
CEO,CNOOC Limited,146.51,+1.48,+1.02%,"8,881","82,198",65.443B,12.74,
EPD,Enterprise Products Partners L.P.,28.80,+0.38,+1.32%,"362,005",3.702M,63.036B,12.47,
COP,ConocoPhillips,52.97,+1.50,+2.92%,1.256M,6.19M,58.81B,8.54,
EQNR,Equinor ASA,16.67,+0.38,+2.33%,"695,392",1.897M,54.801B,6.75,
E,Eni S.p.A.,29.43,+0.46,+1.59%,"43,270","197,273",53.491B,7.93,
SLB,Schlumberger Limited,33.83,+1.10,+3.38%,2.361M,10.209M,46.78B,22.70,
KMI,"Kinder Morgan, Inc.",20.33,+0.20,+1.01%,1.345M,13.736M,46.03B,20.37,
TRP,TC Energy Corporation,48.78,+0.38,+0.80%,"158,702",1.311M,45.386B,17.55,
EOG,"EOG Resources, Inc.",76.76,+0.85,+1.11%,"459,242",3.651M,44.575B,12.48,
PSX,Phillips 66,98.97,+1.04,+1.06%,"461,119",2.665M,44.392B,8.54,
SU,Suncor Energy Inc.,28.36,+0.26,+0.94%,"692,167",3.368M,44.242B,12.51,
OXY,Occidental Petroleum Corporation,45.03,+0.46,+1.03%,2.074M,9.986M,40.278B,8.89,
ET,Energy Transfer LP,13.72,+0.25,+1.86%,4.46M,11.143M,35.991B,11.08,
EC,Ecopetrol S.A.,16.14,+0.15,+0.94%,"46,060","623,660",33.181B,7.54,
VLO,Valero Energy Corporation,80.13,+2.01,+2.57%,"499,532",3.294M,33.206B,13.16,
MPC,Marathon Petroleum Corporation,48.05,+1.83,+3.96%,"996,692",6.584M,31.632B,10.81,
MPLX,MPLX LP,27.65,+0.55,+2.03%,1.009M,2.429M,29.231B,12.02,
OKE,"ONEOK, Inc.",70.63,+1.33,+1.92%,"266,427",2.005M,29.168B,23.39,
ETP-PE,"Energy Transfer Operating, L.P.",24.87,+0.12,+0.48%,"26,445","254,307",29.053B,N/A,
WMB,"The Williams Companies, Inc.",23.50,+0.22,+0.95%,1.441M,7.88M,28.482B,534.09,
ETP-PD,"Energy Transfer Partners, L.P. PFD UNIT SER D",24.55,+0.04,+0.16%,"11,126","72,230",26.823B,22.61,
CNQ,Canadian Natural Resources Limited,23.67,+0.27,+1.18%,"885,769",2.503M,28.076B,10.26,
ETP-PC,"Energy Transfer Operating, L.P.",24.24,+0.17,+0.69%,"7,874","70,567",28.313B,13.41,
BHGE,"Baker Hughes, a GE company",21.39,+0.33,+1.54%,"519,259",4.527M,22.196B,62.53,
