symbol,name,priceIntraday,change,percentChange,volume,avgVol3month,market,cap,pERatioTTM
HSBC-PA,HSBC Holdings plc ADR A 1/40PF A,26.40,0.00,0.00%,"5,196","62,219",540.131B,55.93,
BRK-A,Berkshire Hathaway Inc.,"302,119.50","+1,564.50",+0.52%,51,244,493.113B,17.15,
BRK-B,Berkshire Hathaway Inc.,200.90,+1.18,+0.59%,"992,457",3.738M,492.852B,0.01,
V,Visa Inc.,179.20,+0.97,+0.54%,1.461M,7.029M,401.48B,34.41,
JPM,JPMorgan Chase & Co.,108.88,+1.16,+1.08%,2.383M,11.533M,348.136B,11.13,
SAN-PB,"Banco Santander, S.A. GTD PFD SECS 6",22.89,+0.04,+0.18%,"5,288","19,084",352.06B,50.31,
JPM-PD,JPMorgan Chase & Co.,27.74,+0.07,+0.24%,"8,686","161,183",368.504B,2.84,
BAC-PL,Bank of America Corporation,"1,435.00",+0.23,+0.02%,784,"7,174",282.221B,510.68,
JPM-PC,JPMorgan Chase & Co.,27.91,+0.05,+0.18%,"21,563","200,828",366.119B,2.85,
BAC-PK,Bank of America Corporation,27.08,+0.03,+0.11%,"19,808","79,586",271.696B,9.64,
WFC-PL,Wells Fargo & Company,"1,449.00",-0.76,-0.05%,"2,126","7,725",226.466B,299.19,
BAC-PC,Bank of America Corporation,26.35,-0.02,-0.08%,"25,498","64,133",266.965B,9.38,
BAC-PY,Bank of America Corporation,25.89,+0.07,+0.27%,"16,578","85,258",268.615B,9.21,
BAC-PE,Bank of America Corporation,23.42,-0.02,-0.08%,"1,592","19,136",278.192B,8.33,
WFC-PY,Wells Fargo & Company,26.46,+0.15,+0.58%,"6,339","46,821",216.067B,5.46,
WFC-PW,Wells Fargo & Company,26.29,+0.03,+0.11%,"4,282","38,576",213.831B,5.43,
WFC-PR,Wells Fargo & Company,28.64,+0.04,+0.14%,"7,978","59,028",211.108B,5.91,
BML-PG,Bank of America Corporation,20.96,+0.04,+0.20%,200,"5,744",283.029B,7.46,
WFC-PX,Wells Fargo & Company,25.93,+0.04,+0.14%,"13,819","71,998",215.965B,5.35,
WFC-PN,Wells Fargo & Company,25.47,+0.04,+0.16%,"5,247","39,148",214.702B,5.26,
WFC-PQ,Wells Fargo & Company,26.69,+0.09,+0.34%,"8,608","136,470",214.517B,5.51,
WFC-PO,Wells Fargo & Company,25.50,+0.02,+0.08%,"2,499","30,099",215.385B,5.27,
WFC-PP,Wells Fargo & Company,25.49,+0.07,+0.26%,"1,981","29,300",214.751B,5.26,
