symbol,name,priceIntraday,change,percentChange,volume,avgVol3month,market,cap,pERatioTTM
JNJ,Johnson & Johnson,132.44,+1.08,+0.82%,"525,601",7.432M,349.526B,22.00,
UNH,UnitedHealth Group Incorporated,245.49,-0.20,-0.08%,"553,775",3.676M,232.646B,18.45,
MRK,"Merck & Co., Inc.",86.11,+1.05,+1.23%,1.337M,10.249M,220.461B,24.15,
NVS,Novartis AG,89.65,+0.18,+0.20%,"254,424",2.117M,205.826B,18.42,
PFE,Pfizer Inc.,35.01,+0.35,+1.02%,3.537M,25.83M,193.614B,16.18,
ABT,Abbott Laboratories,85.75,+0.97,+1.14%,"566,560",5.12M,151.555B,52.74,
MDT,Medtronic plc,103.53,+0.77,+0.75%,1.276M,4.79M,138.85B,30.36,
NVO,Novo Nordisk A/S,51.17,-0.49,-0.95%,"298,126",1.512M,122.384B,20.78,
AMGN,Amgen Inc.,202.50,-1.52,-0.75%,"711,790",3.086M,121.439B,16.08,
AZN,AstraZeneca PLC,44.51,+0.17,+0.38%,"324,692",2.968M,115.232B,52.00,
TMO,Thermo Fisher Scientific Inc.,278.10,+1.95,+0.71%,"185,490",1.471M,111.372B,31.76,
LLY,Eli Lilly and Company,112.03,+1.51,+1.37%,"329,674",4.074M,108.157B,14.14,
SNY,Sanofi,42.78,+0.76,+1.82%,"360,201",1.553M,107.638B,22.05,
DHR-PA,Danaher Corporation,"1,137.95",-3.86,-0.34%,390,"12,351",104.667B,333.22,
DHR,Danaher Corporation,141.09,+0.74,+0.53%,"288,608",2.271M,101.213B,41.31,
GSK,GlaxoSmithKline plc,40.30,+0.11,+0.27%,"350,608",2.341M,99.834B,40.62,
ABBV,AbbVie Inc.,66.21,+1.78,+2.76%,1.986M,10.405M,97.89B,24.17,
SYK,Stryker Corporation,217.53,+0.53,+0.24%,"251,654",1.034M,81.379B,23.28,
GILD,"Gilead Sciences, Inc.",64.15,+1.01,+1.60%,1.44M,6.161M,81.243B,13.90,
CVS,CVS Health Corporation,60.99,+0.71,+1.17%,1.837M,8.471M,79.311B,16.71,
BMY,Bristol-Myers Squibb Company,47.56,+0.58,+1.23%,1.626M,13.264M,77.797B,12.53,
ANTM,"Anthem, Inc.",276.63,+1.09,+0.40%,"167,187",1.423M,70.767B,17.87,
BDX,"Becton, Dickinson and Company",251.18,+2.85,+1.15%,"115,442",1.12M,67.808B,87.89,
CELG,Celgene Corporation,95.27,+0.53,+0.56%,"340,657",4.209M,67.522B,13.02,
CI,Cigna Corporation,164.32,+3.07,+1.91%,"370,625",2.014M,62.047B,14.18,
ZTS,Zoetis Inc.,126.54,+1.17,+0.93%,"131,773",1.991M,60.431B,44.71,
BSX,Boston Scientific Corporation,42.63,+0.48,+1.14%,"519,582",6.591M,59.382B,43.06,
ISRG,"Intuitive Surgical, Inc.",495.55,+0.10,+0.02%,"185,257","674,461",57.114B,48.92,
TAK,Takeda Pharmaceutical Company Limited,16.78,+0.07,+0.39%,"499,200",1.534M,53.549B,20.68,
AGN,Allergan plc,159.46,+1.21,+0.76%,"413,256",4.959M,52.308B,N/A,
VRTX,Vertex Pharmaceuticals Incorporated,187.24,+2.30,+1.24%,"223,382",1.202M,48.127B,21.98,
