symbol,name,priceIntraday,change,percentChange,volume,avgVol3month,market,cap,pERatioTTM
BA,The Boeing Company,332.79,+2.34,+0.71%,"650,702",4.307M,187.264B,38.16,
HON,Honeywell International Inc.,166.08,+1.05,+0.64%,"308,440",2.307M,119.496B,17.57,
UNP,Union Pacific Corporation,168.79,+2.54,+1.53%,"333,978",3.102M,118.918B,20.03,
UTX,United Technologies Corporation,126.71,+1.66,+1.33%,"298,639",3.607M,109.329B,20.64,
LMT,Lockheed Martin Corporation,380.03,+3.03,+0.80%,"136,106",1.198M,107.32B,18.52,
UPS,"United Parcel Service, Inc.",117.02,+1.72,+1.49%,"422,685",3.374M,100.486B,21.36,
MMM,3M Company,162.76,+1.26,+0.78%,"537,423",3.039M,93.632B,19.59,
FIS,"Fidelity National Information Services, Inc.",138.81,+0.50,+0.36%,"801,862",4.659M,85.152B,60.54,
GE,General Electric Company,8.77,-0.02,-0.17%,28.218M,60.946M,76.58B,N/A,
ADP,"Automatic Data Processing, Inc.",168.27,+1.25,+0.75%,"170,634",1.947M,73.02B,32.11,
FISV,"Fiserv, Inc.",107.01,-0.25,-0.23%,"675,139",4.851M,72.718B,45.02,
CNI,Canadian National Railway Company,93.54,+1.06,+1.15%,"78,218","785,926",67.228B,15.93,
CAT,Caterpillar Inc.,117.30,+0.87,+0.75%,"571,863",4.263M,65.992B,10.91,
NOC,Northrop Grumman Corporation,371.51,+3.60,+0.98%,"87,456","867,317",62.858B,19.25,
GD,General Dynamics Corporation,187.13,+2.78,+1.51%,"128,797",1.12M,54.051B,16.64,
CSX,CSX Corporation,65.33,+0.24,+0.37%,"653,846",5.173M,52.145B,15.73,
WM,"Waste Management, Inc.",119.98,+0.86,+0.72%,"274,185",1.733M,50.899B,29.31,
RTN,Raytheon Company,181.37,+3.18,+1.78%,"331,938",2.078M,50.518B,16.71,
ITW,Illinois Tool Works Inc.,152.17,+1.95,+1.30%,"187,258",1.32M,49.224B,20.43,
DE,Deere & Company,151.67,+2.44,+1.64%,"392,427",2.122M,48.079B,14.73,
NSC,Norfolk Southern Corporation,174.89,+1.89,+1.09%,"199,033",1.8M,46.067B,16.97,
FDX,FedEx Corporation,158.36,+2.36,+1.51%,"304,466",2.26M,41.311B,78.01,
