symbol,name,priceIntraday,change,percentChange,volume,avgVol3month,market,cap,pERatioTTM
SPG-PJ,"Simon Property Group, Inc.",71.25,+0.03,+0.04%,150,716,60.242B,9.52,
CCI,Crown Castle International Corp. (REIT),143.87,+0.95,+0.66%,"143,876",1.932M,59.815B,83.69,
PLD,"Prologis, Inc.",83.23,+0.84,+1.02%,"246,954",2.252M,52.529B,30.91,
EQIX,"Equinix, Inc. (REIT)",555.57,+3.76,+0.68%,"50,098","377,380",47.123B,91.88,
SPG,"Simon Property Group, Inc.",150.03,+1.42,+0.96%,"167,020",1.592M,46.213B,20.05,
PSA,Public Storage,259.34,+0.56,+0.22%,"85,760","787,204",45.28B,30.95,
PSA-PH,Public Storage,27.38,+0.10,+0.37%,"1,180","57,722",44.164B,3.27,
PSA-PU,Public Storage DEP SHS PFD-U,25.52,+0.01,+0.04%,555,"16,376",37.511B,3.78,
WELL,Welltower Inc.,88.99,+0.20,+0.23%,"158,269",2.096M,36.063B,59.17,
EQR,Equity Residential,82.29,+0.65,+0.80%,"105,076",1.238M,30.517B,41.10,
SBAC,SBA Communications Corporation,262.02,+1.73,+0.66%,"115,518","627,638",29.636B,230.65,
AVB,"AvalonBay Communities, Inc.",207.65,+1.81,+0.88%,"52,448","609,604",29B,31.44,
DLR-PJ,"Digital Realty Trust, Inc.",25.91,+0.03,+0.14%,"2,475","18,597",27.778B,23.74,
DLR-PK,"Digital Realty Trust, Inc.",26.73,+0.07,+0.26%,398,"30,494",27.774B,24.50,
DLR-PC,"Digital Realty Trust, Inc.",27.63,+0.13,+0.47%,518,"21,493",27.611B,25.33,
DLR-PG,"Digital Realty Trust, Inc.",25.52,0.00,0.00%,115,"22,080",27.377B,23.39,
VTR,"Ventas, Inc.",73.17,-0.03,-0.04%,"244,088",2.396M,27.262B,52.56,
DLR-PI,"Digital Realty Trust, Inc.",26.31,-0.06,-0.23%,205,"14,386",26.875B,24.12,
DLR,"Digital Realty Trust, Inc.",124.76,+1.09,+0.88%,"80,866",1.069M,25.993B,114.35,
BXP-PB,"Boston Properties, Inc.",25.28,-0.07,-0.28%,108,"11,962",23.914B,7.39,
O,Realty Income Corporation,72.93,+0.12,+0.16%,"148,411",1.673M,23.208B,56.23,
CSGP,"CoStar Group, Inc.",628.59,+9.74,+1.57%,"33,534","260,103",22.974B,78.98,
ESS,"Essex Property Trust, Inc.",315.31,+0.59,+0.19%,"46,817","285,558",20.725B,50.77,
BXP,"Boston Properties, Inc.",128.56,+0.35,+0.27%,"51,162","670,796",19.871B,37.59,
WY,Weyerhaeuser Company,25.10,-0.06,-0.24%,"386,528",4.931M,18.698B,N/A,
BPY,Brookfield Property Partners L.P.,19.14,+0.06,+0.31%,"101,160",1.038M,18.218B,13.96,
CBRE,"CBRE Group, Inc.",52.28,+0.63,+1.22%,"103,423",1.442M,17.584B,16.63,
BPYPP,Brookfield Property Partners L.P.,25.74,0.00,0.00%,"1,050","26,541",17.01B,18.77,
HCP,"HCP, Inc.",34.55,+0.07,+0.20%,"299,184",2.889M,16.968B,16.90,
ARE,"Alexandria Real Estate Equities, Inc.",149.37,+1.27,+0.86%,"72,894","860,998",16.941B,42.73,
ARE-PD,"Alexandria Real Estate Equities, Inc.",38.90,0.00,0.00%,564,"4,943",16.688B,11.13,
EXR,Extra Space Storage Inc.,120.86,+0.24,+0.20%,"98,892","773,768",15.533B,35.82,
INVH,Invitation Homes Inc.,28.43,+0.11,+0.40%,"297,273",4.884M,15.288B,177.71,
WPC,W. P. Carey Inc.,88.96,+0.34,+0.38%,"84,834","842,500",15.193B,32.67,
VNO-PK,Vornado Realty Trust PFD SER K,25.56,+0.09,+0.34%,222,"15,549",14.329B,53.24,
VNO-PM,Vornado Realty Trust,25.60,0.00,0.00%,"3,991","28,726",14.41B,1.70,
MAA,"Mid-America Apartment Communities, Inc.",125.73,+1.52,+1.22%,"84,519","534,922",14.339B,60.71,
MAA-PI,"Mid-America Apartment Communities, Inc.",65.55,0.00,0.00%,92,600,14.343B,31.65,
VNO-PL,Vornado Realty Trust,25.41,+0.00,+0.01%,"1,708","19,830",14.039B,1.69,
UDR,"UDR, Inc.",47.58,+0.60,+1.28%,"214,234",1.442M,13.933B,83.18,
NLY-PF,"Annaly Capital Management, Inc.",25.89,0.00,0.00%,587,"60,257",13.502B,N/A,
NLY-PD,"Annaly Capital Management, Inc.",25.60,-0.03,-0.12%,"11,748","34,781",13.44B,N/A,
NLY-PG,"Annaly Capital Management, Inc.",24.69,-0.00,-0.00%,"7,798","79,133",13.4B,N/A,
SUI,"Sun Communities, Inc.",146.88,+0.85,+0.58%,"47,414","598,890",13.318B,97.08,
NLY,"Annaly Capital Management, Inc.",9.02,+0.07,+0.73%,1.981M,14.257M,13.128B,N/A,
ELS,"Equity LifeStyle Properties, Inc.",136.07,+1.09,+0.81%,"47,502","588,261",12.387B,46.05,
DRE,Duke Realty Corporation,33.48,+0.22,+0.66%,"135,146",1.889M,12.101B,52.07,
VNO,Vornado Realty Trust,61.60,+0.35,+0.57%,"169,674",1.029M,11.754B,4.10,
HST,"Host Hotels & Resorts, Inc.",16.00,+0.15,+0.95%,"894,667",6.461M,11.678B,10.80,
REG,Regency Centers Corporation,65.24,+0.05,+0.08%,"54,780","914,755",10.931B,37.93,
FRT-PC,Federal Realty Investment Trust,25.92,+0.04,+0.15%,507,"16,292",10.528B,7.71,
CPT,Camden Property Trust,107.38,+1.19,+1.13%,"51,964","493,198",10.397B,65.51,
FRT,Federal Realty Investment Trust,130.82,+0.17,+0.13%,"29,984","428,657",9.805B,38.91,
VICI,VICI Properties Inc.,20.92,+0.19,+0.92%,"258,494",5.089M,9.644B,14.31,
VER-PF,"VEREIT, Inc.",25.50,+0.01,+0.04%,"4,897","68,638",9.55B,103.66,
VER,"VEREIT, Inc.",9.70,+0.09,+0.88%,1.453M,10.772M,9.447B,39.45,
AMH-PH,American Homes 4 Rent,27.19,+0.09,+0.32%,"11,693","14,079",9.348B,114.24,
NNN-PF,"National Retail Properties, Inc.",25.80,+0.08,+0.29%,"1,186","32,782",9.284B,17.11,
AMH-PF,American Homes 4 Rent,26.50,-0.01,-0.03%,225,"16,193",9.263B,111.34,
AMH-PG,American Homes 4 Rent,26.67,0.00,0.00%,"10,663","7,884",9.228B,112.06,
IRM,Iron Mountain Incorporated,31.77,+0.28,+0.91%,"194,006",202.487M,9.123B,25.85,
AGNCM,AGNC Investment Corp.,25.65,-0.00,-0.02%,425,"53,353",9.117B,N/A,
NNN-PE,"National Retail Properties, Inc.",25.63,+0.09,+0.35%,142,"17,772",9.096B,17.00,
AMH-PD,American Homes 4 Rent,27.25,+0.20,+0.74%,"3,634","20,433",9.109B,114.50,
NNN,"National Retail Properties, Inc.",54.94,+0.06,+0.11%,"84,144","893,755",8.983B,36.43,
AMH-PE,American Homes 4 Rent,26.93,+0.11,+0.42%,"8,930","25,700",9.029B,113.15,
AGNCN,AGNC Investment Corp.,26.10,-0.02,-0.07%,"2,601","34,409",8.964B,N/A,
AGNCB,AGNC Investment Corp.,25.67,0.00,0.00%,"4,789","18,266",8.929B,N/A,
AGNC,AGNC Investment Corp.,16.26,+0.03,+0.18%,"945,111",5.082M,8.908B,N/A,
MGP,MGM Growth Properties LLC,29.46,+0.12,+0.40%,"23,495","700,038",8.616B,29.31,
OHI,"Omega Healthcare Investors, Inc.",39.22,0.00,0.00%,"328,232",1.522M,8.493B,30.91,
STOR,STORE Capital Corporation,36.50,-0.09,-0.25%,"198,464",1.448M,8.43B,36.76,
KIM-PM,Kimco Realty Corporation,25.35,-0.02,-0.08%,"2,965","25,399",8.328B,31.57,
KIM-PL,Kimco Realty Corporation,25.16,-0.02,-0.08%,"2,124","24,326",8.214B,31.33,
KIM-PJ,Kimco Realty Corporation,25.59,+0.05,+0.18%,572,"12,203",8.221B,31.86,
MPW,"Medical Properties Trust, Inc.",18.28,+0.13,+0.74%,"282,610",4.482M,8.16B,7.16,
GLPI,"Gaming and Leisure Properties, Inc.",37.61,+0.15,+0.40%,"108,907",1.114M,8.074B,24.05,
CONE,CyrusOne Inc.,70.69,+0.70,+1.00%,"324,562","939,385",8.002B,N/A,
KRC,Kilroy Realty Corporation,79.20,+0.63,+0.80%,"25,273","523,963",7.997B,29.57,
KIM-PI,Kimco Realty Corporation,25.28,-0.30,-1.19%,"37,109","9,152",7.953B,31.48,
KIM-PK,Kimco Realty Corporation,25.17,-0.37,-1.45%,"51,677","12,503",7.95B,31.34,
KIM,Kimco Realty Corporation,18.69,+0.02,+0.13%,"488,449",3.694M,7.891B,23.28,
LPT,Liberty Property Trust,52.29,+0.19,+0.36%,"35,401","752,773",7.761B,16.35,
LAMR,Lamar Advertising Company (REIT),76.54,+1.08,+1.44%,"17,431","319,809",7.683B,21.28,
AIV,Apartment Investment and Management Company,50.97,+0.31,+0.61%,"75,122",1.022M,7.589B,8.39,
AMH,American Homes 4 Rent,25.07,+0.16,+0.65%,"65,736",1.798M,7.534B,105.35,
SLG-PI,SL Green Realty Corp.,25.94,0.00,0.00%,"3,201","10,614",7.532B,9.42,
DEI,"Douglas Emmett, Inc.",42.37,+0.44,+1.04%,"145,485","720,936",7.424B,61.40,
Z,"Zillow Group, Inc.",35.35,-0.59,-1.64%,"618,390",2.901M,7.292B,N/A,
ZG,"Zillow Group, Inc.",35.18,-0.45,-1.27%,"122,420","954,717",7.294B,N/A,
JLL,Jones Lang LaSalle Incorporated,134.79,+1.96,+1.47%,"28,019","417,703",6.944B,13.26,
COLD,Americold Realty Trust,36.16,+0.23,+0.64%,"192,372",2.19M,6.93B,212.71,
CUBE,CubeSmart,35.22,-0.03,-0.07%,"248,001",1.211M,6.777B,37.91,
STWD,"Starwood Property Trust, Inc.",23.58,+0.10,+0.43%,"211,249",1.481M,6.637B,17.51,
SLG,SL Green Realty Corp.,79.24,+0.08,+0.10%,"50,455","806,130",6.531B,28.76,
ACC,"American Campus Communities, Inc.",47.46,+0.27,+0.57%,"39,149","656,044",6.521B,79.10,
PSB-PY,"PS Business Parks, Inc.",25.90,+0.14,+0.54%,"3,029","20,352",6.397B,6.36,
PSB-PX,"PS Business Parks, Inc.",26.18,-0.09,-0.34%,"1,085","18,066",6.364B,6.43,
PSB-PW,"PS Business Parks, Inc.",25.53,+0.03,+0.11%,570,"16,851",6.262B,6.27,
PSB-PV,"PS Business Parks, Inc.",25.68,-0.17,-0.67%,"20,618","5,564",6.204B,6.31,
PSB-PU,"PS Business Parks, Inc.",25.51,-0.09,-0.35%,700,"13,207",6.101B,6.26,
EPR-PG,EPR Properties,25.55,-0.14,-0.53%,"1,802","12,999",6.021B,7.54,
EPR,EPR Properties,76.23,+0.41,+0.54%,"40,242","457,584",5.912B,22.51,
NRZ,New Residential Investment Corp.,14.22,+0.06,+0.42%,"703,573",3.571M,5.909B,18.05,
SHO-PE,"Sunstone Hotel Investors, Inc. RED PFD SER E",26.64,0.00,0.00%,14,"9,331",5.998B,56.32,
HTA,"Healthcare Trust of America, Inc.",28.03,-0.09,-0.30%,"245,411",1.373M,5.752B,26.96,
HHC,The Howard Hughes Corporation,130.34,+0.82,+0.63%,"39,810","333,598",5.624B,53.11,
BRX,Brixmor Property Group Inc.,18.67,+0.16,+0.89%,"194,169",2.75M,5.562B,15.79,
JBGS,JBG SMITH Properties,39.13,+0.19,+0.49%,"28,524","484,403",5.329B,118.94,
HPP,"Hudson Pacific Properties, Inc.",33.90,+0.22,+0.64%,"23,193","893,861",5.233B,"1,412.29",
TPL,Texas Pacific Land Trust,666.00,-5.17,-0.77%,702,"12,453",5.166B,17.06,
CUZ,Cousins Properties Incorporated,34.74,+0.14,+0.39%,"58,132",2.479M,5.098B,67.84,
FR,"First Industrial Realty Trust, Inc.",38.78,+0.19,+0.49%,"61,539","775,963",4.905B,34.02,
PK,Park Hotels & Resorts Inc.,24.09,+0.17,+0.71%,"113,838",1.813M,4.857B,17.17,
PSB,"PS Business Parks, Inc.",175.68,-0.94,-0.53%,"51,069","111,141",4.819B,43.14,
