symbol,name,priceIntraday,change,percentChange,volume,avgVol3month,market,cap,pERatioTTM
NEE,"NextEra Energy, Inc.",217.92,+0.39,+0.18%,"280,342",1.699M,104.406B,31.31,
DUK-PA,Duke Energy Corporation,27.32,-0.01,-0.04%,"12,520","147,701",67.351B,6.04,
DUK,Duke Energy Corporation,90.44,+0.68,+0.75%,"596,942",2.78M,65.898B,20.01,
D,"Dominion Energy, Inc.",77.80,+0.94,+1.22%,"658,730",4.167M,62.504B,65.10,
DCUE,"Dominion Energy, Inc.",103.53,+0.67,+0.65%,"2,456","234,454",62.383B,86.64,
SO,The Southern Company,57.85,+0.37,+0.64%,"764,481",4.378M,60.467B,13.62,
AEP,"American Electric Power Company, Inc.",90.41,+0.18,+0.20%,"291,262",2.15M,44.644B,22.60,
EXC,Exelon Corporation,45.27,+0.14,+0.31%,"552,687",5.502M,43.984B,19.34,
SRE-PB,Sempra Energy,113.88,+0.25,+0.22%,"1,657","14,641",38.283B,16.40,
SRE,Sempra Energy,138.98,+0.10,+0.07%,"163,635",1.403M,38.157B,20.01,
SRE-PA,Sempra Energy,113.94,+0.44,+0.39%,"1,714","56,709",38.273B,16.41,
NGG,National Grid plc,52.39,+0.13,+0.25%,"148,340","501,411",36.793B,8.14,
XEL,Xcel Energy Inc.,62.08,+0.28,+0.45%,"273,364",3.102M,31.972B,25.37,
DCUD,"Dominion Energy, Inc. UT SER A 081519",49.75,-0.08,-0.16%,"304,251","696,677",31.342B,11.13,
PEG,Public Service Enterprise Group Incorporated,58.31,+0.21,+0.36%,"204,920",2.254M,29.484B,20.25,
ED,"Consolidated Edison, Inc.",87.79,+0.59,+0.67%,"164,658",1.617M,29.157B,20.92,
WEC,"WEC Energy Group, Inc.",91.15,+0.71,+0.79%,"452,666",1.661M,28.752B,26.42,
ES,Eversource Energy,78.82,+0.18,+0.23%,"170,641",1.705M,25.506B,29.12,
DTE,DTE Energy Company,130.14,+0.85,+0.66%,"203,203","804,115",23.855B,21.48,
FE,FirstEnergy Corp.,44.83,+0.15,+0.35%,"796,926",3.789M,23.856B,97.05,
EIX,Edison International,72.26,-0.24,-0.33%,"485,772",2.905M,25.876B,N/A,
AWK,"American Water Works Company, Inc.",123.85,-0.37,-0.30%,"173,931","921,917",22.374B,38.59,
ETR,Entergy Corporation,109.53,+0.34,+0.31%,"187,443",1.58M,21.778B,21.53,
PPL,PPL Corporation,29.52,+0.11,+0.37%,"465,055",4.252M,21.321B,12.08,
AEE,Ameren Corporation,76.87,+0.23,+0.30%,"192,591",1.413M,18.895B,23.81,
